Arm,Reward,Regret,Algorithm
0,1.435999595872144,3,Epsilon-Greedy
3,4.387380954754239,0,Epsilon-Greedy
3,5.010138192410726,0,Epsilon-Greedy
3,4.1667485531968085,0,Epsilon-Greedy
3,3.3099241612645067,0,Epsilon-Greedy
3,3.0207549591142193,0,Epsilon-Greedy
3,2.5196826793822016,0,Epsilon-Greedy
3,3.298610548523076,0,Epsilon-Greedy
3,3.5819547832680163,0,Epsilon-Greedy
3,3.475784794433019,0,Epsilon-Greedy
3,3.9757733247036557,0,Epsilon-Greedy
3,3.7902926128753847,0,Epsilon-Greedy
3,3.6425270127795097,0,Epsilon-Greedy
3,3.3252377068179544,0,Epsilon-Greedy
3,3.1413931711394647,0,Epsilon-Greedy
3,3.9463604792014575,0,Epsilon-Greedy
3,4.756120746118162,0,Epsilon-Greedy
3,5.062446746016164,0,Epsilon-Greedy
1,3.755797611074845,2,Epsilon-Greedy
3,6.811562204743234,0,Epsilon-Greedy
3,4.775289778632237,0,Epsilon-Greedy
3,3.7014707942141842,0,Epsilon-Greedy
3,4.391905448905743,0,Epsilon-Greedy
3,2.4103427843688037,0,Epsilon-Greedy
3,4.363351421095751,0,Epsilon-Greedy
3,4.776585145955786,0,Epsilon-Greedy
3,3.1650857359665787,0,Epsilon-Greedy
3,2.427258474583481,0,Epsilon-Greedy
3,4.6337142307126875,0,Epsilon-Greedy
3,3.808944828342646,0,Epsilon-Greedy
3,3.338232405081561,0,Epsilon-Greedy
3,4.04186231072831,0,Epsilon-Greedy
3,4.049650382762234,0,Epsilon-Greedy
3,3.75603388613114,0,Epsilon-Greedy
3,4.10616354298942,0,Epsilon-Greedy
3,4.1093152181675086,0,Epsilon-Greedy
3,4.749227761141828,0,Epsilon-Greedy
3,2.9154442515807397,0,Epsilon-Greedy
3,3.1489651357959434,0,Epsilon-Greedy
3,4.568424239171141,0,Epsilon-Greedy
3,4.163122828907523,0,Epsilon-Greedy
3,4.929880252057317,0,Epsilon-Greedy
3,2.7309188473978896,0,Epsilon-Greedy
3,3.2245260697906684,0,Epsilon-Greedy
3,3.3618778662886037,0,Epsilon-Greedy
3,4.523719764488853,0,Epsilon-Greedy
3,3.6229969086152525,0,Epsilon-Greedy
3,4.643088086199364,0,Epsilon-Greedy
3,4.905897515517466,0,Epsilon-Greedy
3,3.133769620507844,0,Epsilon-Greedy
3,3.0503585048522512,0,Epsilon-Greedy
3,5.54996616595486,0,Epsilon-Greedy
3,4.527924880076501,0,Epsilon-Greedy
3,4.292554239509808,0,Epsilon-Greedy
3,4.353911329415801,0,Epsilon-Greedy
3,3.81340479394319,0,Epsilon-Greedy
3,4.66909262320778,0,Epsilon-Greedy
3,4.14509957047695,0,Epsilon-Greedy
3,4.072953337706625,0,Epsilon-Greedy
3,5.150785022294682,0,Epsilon-Greedy
3,3.4307129172304247,0,Epsilon-Greedy
3,4.6755365992995275,0,Epsilon-Greedy
3,4.254270819539022,0,Epsilon-Greedy
3,4.0235268099954045,0,Epsilon-Greedy
3,5.90293029117193,0,Epsilon-Greedy
3,4.08491692078992,0,Epsilon-Greedy
3,3.725641475053036,0,Epsilon-Greedy
3,2.8262139753735624,0,Epsilon-Greedy
3,3.7959905420177744,0,Epsilon-Greedy
3,4.926968131608193,0,Epsilon-Greedy
3,4.973726065752541,0,Epsilon-Greedy
3,4.730765297633414,0,Epsilon-Greedy
3,4.789066108321126,0,Epsilon-Greedy
3,6.6282091818706075,0,Epsilon-Greedy
3,4.131186808559414,0,Epsilon-Greedy
3,4.130276270122808,0,Epsilon-Greedy
3,3.4650268165272147,0,Epsilon-Greedy
3,4.757427692080165,0,Epsilon-Greedy
3,3.5949263240155926,0,Epsilon-Greedy
3,4.815278993766241,0,Epsilon-Greedy
3,4.41267260775919,0,Epsilon-Greedy
3,3.320786362000632,0,Epsilon-Greedy
3,4.480227895580159,0,Epsilon-Greedy
3,5.508555735621744,0,Epsilon-Greedy
3,4.87349803953296,0,Epsilon-Greedy
3,3.5700934728774465,0,Epsilon-Greedy
3,4.304683620090671,0,Epsilon-Greedy
3,3.4973746269515855,0,Epsilon-Greedy
3,3.4412643922480797,0,Epsilon-Greedy
3,2.197190461938842,0,Epsilon-Greedy
3,4.2761467008774,0,Epsilon-Greedy
